"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"190","Malachi Corley (NYJ)","3","6","16","5.3","10","0","0","2","26","0","1","7","2.2","0.3","1.5%"
"191","Jamari Thrash (CLE)","3","7","22","7.3","11","0","0","0","0","0","0","9","2.2","0.2","0.6%"
"192","Austin Trammell (JAC)","2","3","40","20.0","22","1","0","0","0","0","1","1","2.0","2.0","0.0%"
"193","Mason Kinsey (TEN)","2","2","17","8.5","11","0","0","0","0","0","0","6","1.7","0.3","0.0%"
"194","Chris Blair (ATL)","1","2","17","17.0","17","0","0","0","0","0","0","3","1.7","0.6","0.0%"
"195","Anthony Miller (BAL)","1","1","16","16.0","16","0","0","0","0","0","0","2","1.6","0.8","0.0%"
"196","Trenton Irwin (JAC)","3","10","15","5.0","6","0","0","0","0","0","0","6","1.5","0.3","0.0%"
"197","Casey Washington (ATL)","1","2","14","14.0","14","0","0","0","0","0","0","2","1.4","0.7","0.0%"
"198","Javon Baker (NE)","1","4","12","12.0","12","0","0","0","0","0","0","10","1.2","0.1","0.6%"
"199","Isaiah Hodgins (SF)","2","2","12","6.0","7","0","0","0","0","0","0","2","1.2","0.6","0.0%"
"200","Grant DuBose (BUF)","2","4","11","5.5","13","0","0","0","0","0","0","2","1.1","0.6","0.0%"
"201","Trent Taylor (SF)","1","1","11","11.0","11","0","0","0","0","0","0","2","1.1","0.6","0.0%"
"202","Kameron Johnson (TB)","0","1","0","0","0","0","0","2","11","0","0","5","1.1","0.2","0.0%"
"203","Brandon Johnson (PIT)","1","1","9","9.0","9","0","0","0","0","0","0","3","0.9","0.3","1.0%"
"204","Kendric Pryor (CIN)","1","1","9","9.0","9","0","0","0","0","0","0","2","0.9","0.5","0.0%"
"205","Ramel Keyton (FA)","1","3","7","7.0","7","0","0","0","0","0","0","3","0.7","0.2","0.0%"
"206","John Ross (FA)","1","2","6","6.0","6","0","0","0","0","0","0","1","0.6","0.6","0.0%"
"207","Isaiah Williams (CIN)","2","3","6","3.0","4","0","0","0","0","0","0","8","0.6","0.1","0.0%"
"208","Jaelon Darden (FA)","1","1","6","6.0","6","0","0","0","0","0","0","11","0.6","0.1","0.0%"
"209","Collin Johnson (LV)","1","2","6","6.0","6","0","0","0","0","0","0","6","0.6","0.1","0.0%"
"210","Tyler Scott (CHI)","1","1","5","5.0","5","0","0","0","0","0","0","11","0.5","0.0","0.9%"
"211","Robbie Chosen (SF)","1","4","5","5.0","5","0","0","0","0","0","0","1","0.5","0.5","0.0%"
"212","James Proche II (TEN)","3","3","21","7.0","14","0","0","0","0","0","1","9","0.1","0.0","0.0%"
"213","Quintez Cephus (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"214","Andre Baccellia (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"215","Marquez Callaway (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"216","Emeka Egbuka (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","78.9%"
"217","Chris Tyree (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"218","D.J. Montgomery (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"219","Daniel Jackson (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
